CountSort
Elements, Best, Worst, Average
159, 442.740295, 435.530090, 358.502869
160, 440.774017, 438.392975, 364.710266
161, 438.027405, 437.989319, 362.471039
162, 449.722717, 441.288910, 364.487122
163, 450.182281, 443.788910, 365.668701
164, 444.658203, 447.988922, 367.116882
165, 449.665833, 449.398865, 371.551697
166, 453.276550, 455.869873, 373.205139
167, 454.007660, 453.296967, 375.320526
168, 460.970764, 468.589691, 379.572083
169, 466.777039, 461.678955, 387.167206
170, 466.347717, 467.557922, 386.306702
171, 463.144836, 465.955811, 383.920685
172, 468.184479, 467.735596, 386.842102
173, 469.308441, 475.873596, 390.254242
174, 473.410797, 475.397369, 392.785431
175, 473.661133, 474.659729, 393.218567
176, 479.856140, 479.295959, 397.871887
177, 479.595612, 482.049622, 398.137146
178, 482.229553, 484.254974, 400.443726
179, 489.262939, 485.845520, 400.904358
180, 491.676270, 492.904541, 405.260437
181, 491.117615, 492.210449, 406.986023
182, 494.141785, 494.311096, 406.798645
183, 497.104187, 500.331055, 409.389893
184, 501.050446, 516.543091, 412.508942
185, 511.075104, 508.714294, 414.870911
186, 507.617523, 513.251404, 418.577087
187, 506.471771, 508.465149, 417.267731
188, 510.957123, 512.896484, 420.606781
189, 513.915710, 513.039673, 423.480652
190, 516.381592, 518.363953, 425.858063
191, 517.018127, 522.696411, 426.945801
192, 521.161743, 520.719604, 429.214600
193, 525.266174, 521.021912, 429.701477
194, 526.336670, 534.062134, 432.310150
195, 528.663696, 532.676208, 434.781006
196, 532.566406, 533.807556, 436.858093
197, 532.566650, 535.610779, 437.725830
198, 534.646667, 535.541138, 440.672607
199, 539.104736, 539.524109, 447.817230
200, 541.270508, 546.662415, 445.841736
201, 582.677124, 600.836304, 501.224182
202, 550.927673, 552.503601, 454.592377
203, 575.842773, 554.900330, 455.239197
204, 558.654236, 553.040039, 453.753906
205, 555.055420, 554.893982, 461.185394
206, 556.825562, 561.699402, 458.688538
207, 562.842590, 562.299927, 460.708832
208, 564.404175, 562.599976, 462.460876
209, 565.650452, 566.059937, 465.426117
210, 569.655029, 569.426025, 468.982605
211, 571.805542, 570.042603, 468.978271
212, 573.500549, 574.734253, 470.687836
213, 577.860046, 584.023376, 482.458801
214, 583.825989, 596.002380, 494.535828
215, 610.372620, 587.470215, 483.973572
216, 598.447266, 593.726929, 487.617371
217, 593.304688, 590.252747, 483.831787
218, 591.010498, 595.275269, 485.353180
219, 592.621033, 592.187561, 489.045319
220, 595.662170, 595.078735, 488.284515
221, 597.066223, 598.717896, 490.418457
222, 607.426636, 610.041870, 501.381897
223, 605.542664, 607.884155, 499.188171
224, 620.834351, 615.608459, 502.608826
225, 638.993408, 637.970825, 529.890930
226, 641.229370, 644.877075, 533.029175
227, 648.742920, 667.147705, 539.172913
228, 653.204285, 636.414795, 521.327271
229, 623.580444, 623.171509, 512.712708
230, 624.928040, 626.147156, 511.511322
231, 629.052795, 628.674683, 513.891113
232, 633.445313, 632.907471, 515.289124
233, 633.634583, 631.560730, 521.008911
