insertion.csv
Elements, Random
318, 15289.888672
319, 15495.958984
320, 15795.054688
321, 16186.955078
322, 16211.825195
323, 15843.601563
324, 15948.990234
325, 16154.518555
326, 16262.362305
327, 16473.767578
328, 16579.246094
329, 16624.375000
330, 16703.855469
331, 16707.777344
332, 16803.437500
333, 16852.773438
334, 17172.386719
335, 17157.998047
336, 17460.990234
337, 17508.138672
338, 17955.083984
339, 18119.337891
340, 18342.652344
341, 17989.255859
342, 17872.154297
343, 17974.746094
344, 18253.113281
345, 18227.310547
346, 18353.300781
347, 18400.652344
348, 18522.484375
349, 18602.527344
350, 18698.562500
351, 18773.716797
352, 18972.621094
353, 19179.310547
354, 19465.130859
355, 19403.244141
356, 19443.984375
357, 19557.208984
358, 19888.750000
359, 19882.355469
360, 19960.394531
361, 20121.689453
362, 20169.357422
363, 20253.964844
364, 20456.527344
365, 20429.644531
366, 20382.003906
367, 20536.148438
368, 20695.144531
369, 20861.630859
370, 20809.232422
371, 20853.574219
372, 20873.847656
373, 21404.515625
374, 21144.160156
375, 21208.464844
376, 21253.488281
377, 21271.128906
378, 21466.074219
379, 21620.167969
380, 21824.408203
381, 21877.169922
382, 22032.207031
383, 22126.871094
384, 22149.787109
385, 22419.660156
386, 22321.417969
387, 22591.291016
388, 22788.128906
389, 23284.492188
390, 22981.339844
391, 23099.222656
392, 23280.009766
393, 23378.332031
394, 23573.283203
395, 23898.718750
396, 24217.472656
397, 23856.835938
398, 23798.494141
399, 24015.908203
400, 24402.619141
401, 24591.591797
402, 25011.677734
403, 25171.617188
404, 24865.310547
405, 24725.501953
406, 24775.320313
407, 25213.451172
408, 25016.804688
409, 25054.589844
410, 25189.748047
411, 25366.476563
412, 25481.787109
413, 25627.019531
414, 25623.746094
415, 25767.236328
416, 26257.343750
417, 26043.105469
418, 26252.869141
419, 26406.416016
420, 26454.582031
421, 26577.177734
422, 26654.693359
423, 26934.619141
424, 26931.271484
425, 27241.527344
426, 27623.822266
427, 27153.212891
428, 27245.021484
429, 27780.162109
430, 28268.337891
431, 28500.980469
432, 27867.416016
433, 28216.162109
434, 28338.718750
435, 28000.412109
436, 28031.832031
437, 28473.652344
438, 28582.115234
439, 28716.292969
440, 28810.449219
441, 29526.525391
442, 29410.863281
443, 29456.828125
444, 29709.671875
445, 29861.037109
446, 30031.203125
447, 30354.511719
448, 30729.458984
449, 30702.056641
450, 30536.652344
451, 30619.875000
452, 30667.000000
453, 31196.880859
454, 30877.896484
455, 30928.078125
456, 31207.875000
457, 31153.464844
458, 31764.718750
459, 31311.234375
460, 31399.943359
461, 31653.416016
462, 32164.402344
463, 31760.691406
464, 32253.916016
465, 31961.156250
466, 32132.265625
467, 32260.525391
468, 33111.898438
469, 32814.417969
470, 32738.462891
471, 32426.765625
472, 32758.787109
473, 32844.578125
474, 33020.449219
475, 33206.585938
476, 33544.429688
477, 33977.343750
478, 33995.835938
479, 34073.164063
480, 33984.523438
481, 34314.304688
482, 35040.441406
483, 34992.152344
484, 34766.695313
485, 34686.886719
486, 35141.671875
487, 35066.335938
488, 35128.734375
489, 35448.261719
490, 35514.785156
491, 36160.566406
492, 36151.218750
493, 36437.371094
494, 36112.277344
495, 36423.425781
496, 36953.253906
497, 37124.632813
498, 37094.257813
499, 37885.757813
