MergeSort
Elements, Best, Worst, Average
144, 3263.883057, 3279.240234, 3213.848633
145, 3250.738281, 3259.384033, 3203.454834
146, 3281.373779, 3268.848389, 3294.505371
147, 3325.727295, 3320.085205, 3307.090576
148, 3337.392578, 3316.858643, 3327.538574
149, 3354.519043, 3350.575684, 3415.014160
150, 3390.791748, 3390.057861, 3394.321533
151, 3480.479248, 3419.535889, 3429.212158
152, 3502.407715, 3442.983643, 3446.751221
153, 3530.210938, 3455.978516, 3598.745361
154, 3633.391113, 3499.178223, 3564.284668
155, 3556.608887, 3522.027832, 3600.438232
156, 3592.990723, 3583.393066, 3561.343750
157, 3593.019531, 3577.059326, 3593.294434
158, 3628.451904, 3617.825684, 3619.419434
159, 3649.105469, 3603.672363, 3609.321777
160, 3655.710449, 3702.487549, 3697.021973
161, 3699.791504, 3687.398438, 3696.031982
162, 3741.039551, 3718.509766, 3738.993408
163, 3778.703857, 3736.791504, 3743.529785
164, 4127.570313, 3905.549561, 4229.612305
165, 3834.596924, 3785.925049, 3843.131348
166, 3872.029785, 3837.612793, 3819.613281
167, 3861.722656, 3822.741699, 3862.601074
168, 3903.882324, 3849.074219, 3860.419922
169, 3904.518311, 3886.857422, 3892.052002
170, 3929.811768, 3890.235840, 3930.305420
171, 3999.941406, 3944.653564, 3931.070313
172, 3986.864014, 3984.425293, 3959.557373
173, 4040.796387, 3952.872559, 3948.535645
174, 4025.829590, 4006.257080, 4000.663574
175, 4099.143066, 4057.905762, 4033.776611
176, 4075.854248, 4060.200684, 4077.047607
177, 4122.065430, 4096.180176, 4083.624512
178, 4134.366211, 4084.798096, 4109.132324
179, 4149.176758, 4136.069336, 4159.963379
180, 4165.637695, 4145.886719, 4123.376465
181, 4216.253906, 4242.648926, 4220.047852
182, 4264.605469, 4221.864746, 4227.955078
183, 4251.020508, 4208.636230, 4238.335938
184, 4272.762207, 4247.623535, 4252.263184
185, 4283.086426, 4296.352539, 4276.855957
186, 4317.078613, 4310.675293, 4314.925293
187, 4340.167969, 4308.967773, 4314.632324
188, 4371.977051, 4341.526855, 4355.043457
189, 4743.117676, 4547.382813, 4671.264648
190, 4448.562012, 4418.658203, 4431.105957
191, 4458.616211, 4427.425781, 4429.610352
192, 4453.541992, 4426.702637, 4442.300781
193, 4490.774414, 4493.979980, 4527.250000
194, 4544.807617, 4516.788086, 4564.424805
195, 4588.340820, 4499.828613, 4558.222656
196, 4579.053711, 4551.322754, 4565.992188
197, 4598.355469, 4579.062500, 4579.639160
198, 4641.155273, 4597.206055, 4609.323730
199, 4671.786133, 4634.790527, 4647.272461
200, 4672.718750, 4707.368652, 4655.916992
201, 4761.191895, 4741.776367, 4757.711914
202, 4831.819336, 4735.737793, 4717.510742
203, 4777.332031, 4753.284180, 4740.721680
204, 4815.463379, 4746.208496, 4810.502441
205, 4785.696289, 4781.301270, 4795.580566
206, 4821.699219, 4824.209961, 4839.757813
207, 4920.870117, 4847.681152, 4899.186035
208, 4974.216797, 4882.158203, 4869.518555
209, 4952.031738, 4956.526367, 4899.321777
210, 4931.432617, 4910.452637, 4928.041992
211, 4984.873047, 4917.604980, 4962.374512
212, 5050.727539, 5023.410156, 5181.297852
213, 5102.772461, 5033.281250, 5056.619629
214, 5055.717285, 5048.577637, 5035.672363
215, 5076.651855, 5068.917480, 5063.497070
216, 5132.965332, 5067.411621, 5125.099121
217, 5089.536133, 5075.850586, 5125.080078
218, 5210.403809, 5090.315430, 5397.728027
219, 5305.230469, 5113.201660, 5166.422852
220, 5214.762695, 5184.880371, 5199.802734
221, 5225.006348, 5192.728027, 5214.649902
222, 5243.910645, 5224.752930, 5328.865234
223, 5290.651367, 5298.725586, 5290.106445
224, 5302.265137, 5284.222656, 5303.241211
225, 5337.626465, 5364.442383, 5334.944336
226, 5362.462402, 5333.624512, 5402.154297
227, 5379.475586, 5393.812012, 5394.924805
228, 5407.017090, 5407.250977, 5417.142578
229, 5516.511719, 5448.174805, 5434.254395
230, 5530.190918, 5450.467285, 5476.495117
231, 5506.838867, 5481.586426, 5487.950195
232, 5516.594238, 5536.268555, 5558.375000
233, 5546.939453, 5518.137695, 5553.377441
234, 5585.463867, 5589.063477, 5614.038086
235, 5593.316406, 5566.396484, 5574.753418
236, 5735.061035, 5580.429688, 5610.615234
237, 5653.246094, 5615.153320, 5666.571289
238, 5678.954590, 5649.334961, 5683.127441
