BucketSort
Elements, Best, Worst, Average
153, 1217.105713, 1281.683228, 1264.584229
154, 1211.300537, 1219.438232, 1220.368408
155, 1275.530029, 1276.433838, 1281.186768
156, 1303.523071, 1298.483521, 1296.888550
157, 1275.852295, 1345.178345, 1314.448975
158, 1239.885132, 1244.647705, 1244.104736
159, 1247.548584, 1243.594727, 1242.500488
160, 1250.764893, 1249.919434, 1255.560181
161, 1259.956421, 1257.731812, 1260.676025
162, 1267.725708, 1267.553101, 1264.357544
163, 1332.802490, 1345.685303, 1348.255737
164, 1299.480347, 1414.388428, 1292.265625
165, 1322.107910, 1406.518799, 1304.826538
166, 1427.180908, 1316.631958, 1328.702637
167, 1343.748169, 1392.943115, 1402.200317
168, 1386.984741, 1367.854248, 1401.550049
169, 1324.158569, 1324.125488, 1329.205078
170, 1329.115845, 1341.572510, 1355.520508
171, 1419.281494, 1375.487183, 1404.402100
172, 1413.088135, 1367.378784, 1398.650146
173, 1369.648682, 1354.667969, 1477.434937
174, 2384.254883, 2293.057129, 2425.913574
175, 1949.435547, 1964.945923, 1758.641357
176, 1527.323486, 1541.764526, 1517.304077
177, 1523.902344, 1536.376465, 1491.800537
178, 1505.260132, 1599.637573, 1530.240112
179, 1482.406006, 1521.903687, 1538.994019
180, 1477.460571, 1541.900146, 1501.979492
181, 1488.256104, 1504.890015, 1506.048096
182, 1445.885498, 1444.958984, 1449.584839
183, 1516.188354, 1509.985840, 1544.098511
184, 1448.868896, 1446.508545, 1456.019897
185, 1468.066772, 1456.460815, 1468.741943
186, 1470.476685, 1471.026123, 1461.934326
187, 1470.827637, 1467.102783, 1481.993530
188, 1517.762817, 1639.440186, 1572.899292
189, 1517.496338, 1536.044067, 1496.349854
190, 1528.389648, 1542.954346, 1541.724976
191, 1602.079102, 1587.335327, 1592.512573
192, 1635.187988, 1609.803467, 1603.741211
193, 1672.368774, 1666.200439, 1667.474243
194, 1596.996948, 1568.190063, 1667.407593
195, 1647.479492, 1648.118896, 1656.910767
196, 1734.687866, 1701.121826, 1676.181030
197, 1665.608765, 1679.802368, 1686.378174
198, 1654.780884, 1650.690186, 1662.487671
199, 1638.228149, 1615.588989, 1636.628662
200, 1596.962891, 1574.288818, 1595.712891
201, 1574.666382, 1583.489014, 1594.541260
202, 1634.596680, 1635.148926, 1624.204102
203, 1599.329712, 1597.714966, 1590.910400
204, 1591.423096, 1596.981567, 1594.751099
205, 1604.362305, 1601.588135, 1609.145264
206, 1687.616211, 1645.448608, 1669.784546
207, 1636.941650, 1632.754761, 1632.108521
