BubbleSort
Elements, Best, Worst, Average
144, 7727.084473, 12326.780273, 9796.203125
145, 7882.489258, 12445.487305, 10019.689453
146, 8078.688477, 13042.498047, 10248.378906
147, 8030.678711, 13012.619141, 10351.448242
148, 8064.748535, 12847.361328, 10350.724609
149, 8286.994141, 13180.294922, 10601.632813
150, 8462.439453, 13387.539063, 10822.064453
151, 8568.794922, 13816.504883, 10914.366211
152, 8611.759766, 13721.870117, 11022.828125
153, 8698.055664, 13682.067383, 10975.511719
154, 8674.544922, 13835.606445, 11046.091797
155, 8768.764648, 14134.731445, 11248.599609
156, 9080.087891, 14491.513672, 11697.080078
157, 9112.768555, 14492.692383, 11556.428711
158, 9166.576172, 15013.379883, 11797.892578
159, 9706.598633, 15286.198242, 12160.908203
160, 9387.860352, 15138.299805, 12005.651367
161, 9470.865234, 15160.320313, 12062.485352
162, 9589.966797, 15346.021484, 12189.568359
163, 9753.497070, 15536.630859, 12430.576172
164, 9875.049805, 15897.343750, 12577.688477
165, 10076.944336, 16040.513672, 12820.610352
166, 10098.534180, 16151.031250, 12808.480469
167, 10244.493164, 16349.482422, 13455.528320
168, 10800.520508, 16460.578125, 13214.372070
169, 10517.212891, 16706.369141, 13509.796875
170, 10611.371094, 17101.568359, 13696.390625
171, 10955.545898, 17358.238281, 14148.088867
172, 10906.675781, 17361.375000, 13921.798828
173, 11027.917969, 17663.107422, 14120.890625
174, 11374.861328, 18144.851563, 14434.379883
175, 11319.776367, 19098.964844, 14411.666992
176, 11613.087891, 18588.685547, 14747.466797
177, 11469.808594, 18345.667969, 14657.456055
178, 11770.450195, 18909.986328, 14840.325195
179, 11799.814453, 18751.767578, 14949.732422
180, 11926.333008, 19083.007813, 15255.442383
181, 12074.204102, 19186.191406, 15274.843750
182, 12210.619141, 19281.378906, 15487.382813
183, 12323.931641, 19594.998047, 15555.369141
184, 12436.442383, 19804.220703, 15765.876953
185, 12685.284180, 19974.503906, 15913.326172
186, 12751.908203, 20379.691406, 16249.012695
187, 12902.400391, 20770.089844, 16561.062500
188, 12957.700195, 20701.189453, 16484.566406
189, 13172.159180, 21102.871094, 16666.126953
190, 13223.135742, 21114.027344, 16878.923828
191, 13439.112305, 21314.031250, 17104.271484
192, 13519.612305, 21487.841797, 17280.175781
193, 13672.611328, 21854.132813, 17406.396484
194, 13859.591797, 22032.582031, 17607.689453
195, 13916.189453, 22287.396484, 17789.039063
196, 14136.359375, 22585.667969, 18034.832031
197, 14646.666016, 23108.775391, 18120.564453
198, 14538.317383, 23059.398438, 18282.466797
199, 15030.591797, 23881.828125, 18531.255859
200, 14990.828125, 24003.074219, 19091.236328
201, 15094.853516, 24259.566406, 19251.292969
202, 15325.036133, 25048.658203, 19387.828125
203, 15255.682617, 24460.285156, 19277.730469
204, 15692.576172, 24403.000000, 19292.050781
205, 15505.537109, 24728.210938, 19698.494141
206, 15688.455078, 24936.488281, 19759.298828
207, 15690.064453, 25444.339844, 20016.089844
208, 15884.137695, 25288.072266, 20003.269531
209, 16152.982422, 25821.755859, 20436.187500
210, 16455.949219, 26335.177734, 20815.488281
211, 16662.802734, 26531.386719, 21027.707031
212, 16905.240234, 26537.746094, 21077.490234
213, 16710.652344, 26731.105469, 21109.509766
214, 16983.236328, 27022.990234, 21355.160156
215, 17072.003906, 27306.597656, 21551.916016
216, 17352.849609, 27817.072266, 21872.501953
217, 17711.775391, 27838.968750, 22269.281250
218, 17501.699219, 27896.146484, 22147.677734
219, 17722.050781, 28112.046875, 22476.228516
220, 17800.613281, 28354.066406, 22556.486328
221, 18019.261719, 28606.707031, 22779.517578
222, 18159.837891, 28925.171875, 23026.472656
223, 18285.535156, 29101.187500, 23176.865234
224, 18504.814453, 29493.410156, 23405.154297
225, 18631.550781, 29743.722656, 23837.066406
226, 18866.365234, 29888.931641, 23816.097656
227, 18940.916016, 30201.322266, 24045.660156
228, 19059.492188, 30436.949219, 24439.027344
229, 19434.148438, 30675.175781, 24555.701172
230, 19663.125000, 30977.859375, 24865.480469
231, 19662.630859, 31255.177734, 25044.136719
232, 19884.552734, 31952.746094, 25443.074219
233, 20260.865234, 32295.343750, 25812.027344
234, 20569.197266, 32830.039063, 27219.503906
235, 20650.949219, 33677.851563, 26704.261719
236, 20607.515625, 33106.003906, 26246.806641
237, 20607.781250, 33688.710938, 26652.308594
238, 21150.308594, 34169.382813, 27154.291016
239, 21069.492188, 33548.675781, 27204.677734
240, 21268.269531, 33714.410156, 27290.396484
241, 21419.626953, 34234.781250, 27746.859375
242, 21562.121094, 35297.996094, 27740.166016
243, 22160.492188, 34746.691406, 28209.394531
244, 22827.638672, 34976.101563, 28280.599609
245, 22790.832031, 35458.781250, 28949.572266
246, 23035.472656, 36055.949219, 29310.646484
247, 23142.816406, 36374.285156, 29237.212891
248, 23714.730469, 37978.609375, 30064.140625
249, 23472.074219, 37564.500000, 30830.152344
250, 24221.558594, 37578.539063, 30128.753906
251, 23679.964844, 37573.273438, 30131.816406
252, 23813.074219, 38146.230469, 30542.761719
253, 23626.457031, 37644.394531, 30571.666016
254, 23873.003906, 37971.929688, 30713.406250
255, 24069.113281, 38236.121094, 31161.130859
256, 24624.630859, 38941.089844, 31154.902344
257, 24322.152344, 38913.691406, 31417.759766
258, 24753.697266, 39121.226563, 31766.296875
259, 24704.638672, 39539.382813, 31976.300781
260, 24953.304688, 39720.390625, 32441.578125
261, 25332.931641, 40294.523438, 32818.539063
